tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
@realDonaldTrump #CadetBoneSpurs never knows how to be polite or even smart. @realDonaldTrump will create a crisis and disaster in an attempt to hide from both #Congress and the #Constitution I will not work this time #Donald,US,"Buffalo, NY","[[[-78.912276, 42.826008], [-78.79485, 42.826008], [-78.79485, 42.966451], [-78.912276, 42.966451]]]",haldonahue,68111,12617,200340,12738,288,"Scranton, PA, USA",Wed Apr 24 14:37:50 +0000 2019,
"Today in 1800, the Library of Congress was established, which is ironic since most members of Congress don't even know how to fucking read. #WednesdayWisdom #wednesdaythoughts #library #Congress #CongressManifesto",US,"New York, NY","[[[-74.255641, 40.495865], [-73.699793, 40.495865], [-73.699793, 40.91533], [-74.255641, 40.91533]]]",paulguynj,1696,673,9621,699,24,"New York, NY",Wed Apr 24 14:09:33 +0000 2019,
"#Congress candidate #AcharyaPramodKrishnam seeks votes in the name of 
#atalbiharivajpayee. He assures installing statue of former PM. 

#LokSabhaElections2019 #ElectionWithHT",IN,"Lucknow, India","[[[80.658613, 26.642291], [81.110202, 26.642291], [81.110202, 27.008048], [80.658613, 27.008048]]]",Saurabhjr,17938,1410,17286,1240,34,Lucknow,Wed Apr 24 14:09:18 +0000 2019,
R u safe in #Congress https://t.co/m0GSeHtrxC,IN,"Guwahati, India","[[[90.939097, 25.722728], [92.180418, 25.722728], [92.180418, 26.796614], [90.939097, 26.796614]]]",JITU__BORA,905,541,3046,35,5,GUWAHATI.,Wed Apr 24 13:21:36 +0000 2019,
"@realDonaldTrump Your whacked out stories are polluting my air!
Like #Mexico will pay for #wall!
Like a #NorthKorea treaty &amp; a #China Trade Deal! 
You’re a scared dog in the fight for his life! 
Sadly, you have no bite! You’re all bark!
#Congress, #Clinton &amp; #Obama all outclass you!
#TrumpFail",US,"Paradise, NV","[[[-115.2092535, 35.984784], [-115.0610763, 35.984784], [-115.0610763, 36.137145], [-115.2092535, 36.137145]]]",GoodmanComedian,1562,2536,5006,4437,49,Los Angeles CA,Wed Apr 24 13:12:58 +0000 2019,
@thedailybeast This should scare the Hell out of Every #American: #Democrat &amp; #Republican! Matthew 12: A house divided cannot stand!That is what #Kim &amp; #Putin count on! They've both met #Trump &amp; saw that he is a pompous fool!They've witnessed the discord he's sewn! #Congress &amp; #Senate UNITE!,US,"Lake Wynonah, PA","[[[-76.208993, 40.571443], [-76.156707, 40.571443], [-76.156707, 40.603094], [-76.208993, 40.603094]]]",Jardinami_Diane,8102,730,17028,1602,33,"Lake Wynonah, PA",Wed Apr 24 13:05:00 +0000 2019,
@tictoc This should scare the Hell out of Every #American: #Democrat &amp; #Republican! Matthew 12: A house divided cannot stand!That is what #Kim &amp; #Putin count on! They've both met #Trump &amp; saw that he is a pompous fool!They've witnessed the discord he's sewn! #Congress &amp; #Senate UNITE!,US,"Lake Wynonah, PA","[[[-76.208993, 40.571443], [-76.156707, 40.571443], [-76.156707, 40.603094], [-76.208993, 40.603094]]]",Jardinami_Diane,8102,730,17028,1602,33,"Lake Wynonah, PA",Wed Apr 24 13:03:47 +0000 2019,
"If this president is truly innocent and has nothing to hide then he should have no problem with former admin officials speaking to Congress. Instead he does everything to hide and obfuscate and lie. As Americans, we deserve answers. #TrumpIsALiar #TrumpIsAMobster #Trump #Congress https://t.co/K9k3dOkWbY",US,"Washington, DC","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",KatyFerry,70809,373,10716,303,11,"Atlas District, Washington",Wed Apr 24 12:28:23 +0000 2019,
"CONGRESS party has become a den of idiots, scoundrels, dolts &amp; foolish people. Horrible to think of those days when Pandit Nehru was a leader.
Pathetic attempt by Congress to spread fake news about Smriti Irani https://t.co/MQ5TYMZjvf #Congress #SmritiIrani via @rightlog_in",IN,"Thane, India","[[[72.80161, 19.16162], [73.03441, 19.16162], [73.03441, 19.593413], [72.80161, 19.593413]]]",PKotekar,30778,3909,167393,2852,126,"Thane, India",Wed Apr 24 12:18:50 +0000 2019,
"The past 19 days has been an amazing journey. I'm thankful to huge numbers of all @INCIndia &amp; #JDS party workers, leaders and voters for extending your support. ❤🙏 
#Congress #LoksabhaElections2019 https://t.co/PUhHlCPruf",IN,"Dharwad, India","[[[74.727062, 15.31192], [75.227244, 15.31192], [75.227244, 15.681928], [74.727062, 15.681928]]]",Hannu_Makadwale,5084,53,713,15,0,Hubli-Dharwad,Wed Apr 24 12:12:35 +0000 2019,
