tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"A day after #BJP claimed that 14 #AAP MLAs were in touch of it to switch over, @AamAadmiParty chief and #Delhi Chief Minister #ArvindKejriwal on Friday asked Prime Minister #NarendraModi if democracy for him meant buying the legislators of Opposition parties. | RT@BengalNewzIndia",IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",BengalNewz,14778,4730,48783,20,95,Kolkata🇮🇳 and Dhaka🇧🇩,Fri May 03 09:50:40 +0000 2019,
@ashoswai Have you heard about #Baseforces helping #BJP to cast their votes in #WestBengal by #TMC founder statements?,IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",chetanverma0013,1414,129,2369,239,9,"New Delhi, India",Fri May 03 09:39:23 +0000 2019,
@tufailelif See u r sounding #BJP win,IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",IMSHREESHAIL,23005,164,9357,482,6,"Koramangala, Bengaluru South",Fri May 03 09:15:37 +0000 2019,
This is the IQ of #BJP #BHAKTS https://t.co/nt6atVuipY,IN,"Bathinda, India","[[[74.712042, 30.067047], [75.223126, 30.067047], [75.223126, 30.414127], [74.712042, 30.414127]]]",bakshihs,793,89,1147,199,0,India,Fri May 03 08:31:23 +0000 2019,
"What a luminous paradox : 

Despite targeted by planted propaganda by mainstream media( most) the #CongressManifesto is committed to media freedom.

#BJP intimidates them, call them nasty names, but they continue to genuflect, be publicly obsequious. 

#WorldPressFreedomDay",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",JhaSanjay,21800,397467,59354,2970,966,Mumbai.India,Fri May 03 05:41:00 +0000 2019,
@jarariya91 kya se kya ho Gaya dekhte dekhte... 😂😂😂 If u have self respect say sorry for this.... #ElectionsWithNews18 #DallaAbhisarSharma #NarendraModi #BJP #MadhyaPradesh #bhind https://t.co/2OpMlWx4af,IN,"Rajasthan, India","[[[69.484366, 23.060464], [78.270755, 23.060464], [78.270755, 30.196367], [69.484366, 30.196367]]]",navis1692,163,29,119,29,0,"Mumbai, India",Fri May 03 04:07:49 +0000 2019,
@mailtomirth @Aap_Praveen @AnkitLal Oh paid user of #BJP you have not any word to say something to see this marvellous road show of your lambhir 😄😄😄😄😄😄,IN,"Madhya Pradesh, India","[[[74.030686, 21.073255], [82.809772, 21.073255], [82.809772, 26.868535], [74.030686, 26.868535]]]",HaarisJindran,31940,139,20927,100,0,"सनावद, भारत",Fri May 03 03:45:41 +0000 2019,
"Myself Saurabh, 
Native place is Betul(M.P) and working at pune.
As election date 06-05-19 is coming I am going to home town to cast my important vote but I am not even confident on #BJP candidate? Not yet received any good speech from her

  @BJP4India @BJPLive @ChouhanShivraj",IN,"Nagpur, India","[[[78.8612223, 20.7552323], [79.2043586, 20.7552323], [79.2043586, 21.2212847], [78.8612223, 21.2212847]]]",saurabhsoni3091,54,43,90,143,0,"भोपाल, भारत",Thu May 02 23:00:21 +0000 2019,
@MirrorNow @fayedsouza Well done team you have the courage to question this government. Now a question to @narendramodi @arunjaitley What on earth have you done in 5 years. @TravelerPrash @iamAKrishna now are you convinced that #bjp is cancer to the society. They want to divide and rule. Like British.,IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",SKeeranagi,1046,119,1538,200,0,"Bengaluru, India",Thu May 02 18:56:50 +0000 2019,
"@PMOIndia Shri. @narendramodi Ji about his 5 years at office (Interview) Witnessed live with the best @RajatSharmaLive 
Don’t miss the scheduled broadcast on @indiatvnews ! 
-The respect he has for the nation and its people ❤️#NamoAgain #BJP https://t.co/3VFI5ofBwN",IN,Jawaharlal Nehru Stadium,"[[[77.23440170288086, 28.582712848295753], [77.23440170288086, 28.582712848295753], [77.23440170288086, 28.582712848295753], [77.23440170288086, 28.582712848295753]]]",punitrajani,2557,69,102,245,0,India,Thu May 02 18:22:07 +0000 2019,
"#BJP What is worrying is not ""crushing of institutions"" but the force and depth of the damages caused. #DemocracyInDanger #LokSabhaElections2019 https://t.co/40T8dzp8yt",IN,"Bengaluru South, India","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]",MyOrangeBike,1460,37,2054,148,1,Bangalore ,Thu May 02 18:02:59 +0000 2019,
My#bjpbadge #bjp #bjpindia #bharatiyajanataparty #bjpmember #newjoinee #MainBhiChowkidar #NamoAgain #ModiMeinHaiDum https://t.co/EhI9l4G3oe,IN,"Noida, India","[[[77.302126, 28.443981], [77.695326, 28.443981], [77.695326, 28.647131], [77.302126, 28.647131]]]",rohitzsharmaz,36,3,21,36,1,noida,Thu May 02 17:44:30 +0000 2019,
@TimesNow @PadmajaJoshi I am hearing from many of my friends working in @TimesNow  ... @PadmajaJoshi is just a backup if #Congress wins she will get the Prime time slot but if #BJP wins big she will be kicked out.,IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",kiranmenon93,9285,1826,7840,1474,5,"Mulund East, Mumbai",Thu May 02 17:26:52 +0000 2019,
"#Election2019 As d elections are long drawn as never before, things happening in d interregnum are turning out to b ‘advantage #BJP’ . That’s a natural swing coming in its favour.  Bad luck , sorry #Cong .",IN,"Tirupati, India","[[[78.953042, 13.398251], [79.569053, 13.398251], [79.569053, 13.794922], [78.953042, 13.794922]]]",AtthiDevarajan,3447,456,5090,810,0,"Tirupati, India",Thu May 02 17:26:39 +0000 2019,
@JhaSanjay you all can handle snake only but #bjp handle #MasoodAzhar now days😜😜😂😂 @TajinderBagga @iSinghApurva @Atheist_Krishna https://t.co/6iqauzpPhr,IN,"Danapur, India","[[[84.686271, 25.2014], [85.117254, 25.2014], [85.117254, 25.731555], [84.686271, 25.731555]]]",ANKITYA61929068,3200,121,1918,2252,0,"Patna, India",Thu May 02 16:38:34 +0000 2019,
@_Rakshanda_ Sure.#BJp 420Party.,IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",PranabC74013869,39859,328,33381,264,1,,Thu May 02 16:01:23 +0000 2019,
"@TwitterIndia @maryashakil love your approach to  journalism it's refreshing. What's your take on the women Muslim voters towards #Bjp 

#AskCNNnews18",IN,"Thane, India","[[[72.80161, 19.16162], [73.03441, 19.16162], [73.03441, 19.593413], [72.80161, 19.593413]]]",uttamkaul,2186,403,45644,655,26,Mumbai/J&k/India,Thu May 02 15:45:05 +0000 2019,
"Officially, Election Commission should Rename MCC as Modi Code of Conduct. #DeshBoleModiPhirSe #ModiMeinHaiDum #ModiHaiToMumkinHai #RahulGandhiToNDTV #LokSabhaElections2019 #BJP https://t.co/WlCOGXanhJ",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",pnavadgi,7214,286,10153,169,23,"South Mumbai,India",Thu May 02 15:38:57 +0000 2019,
@OmarAbdullah Sad ... be an Indian first and be proud that #MassodAzhar is finally declared  no 1 terrorist not only for our country but for the entire world.. just because u don’t side with #bjp u don’t have to oppose every good thing this govt does.. shame,IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",vermsnaren,4368,61,1406,760,0,"Banglore, India",Thu May 02 15:10:17 +0000 2019,
"@dostam_comrade @RoflGandhi_ @Being_Sanskaari @EpicRoflDon @Mohambi007 @polysmind @retheeshraj10 @Rofl_Gujarati @MrsNair_1112 @Mehboobp1 No captions required !!! 
@ZeeNewsHindi seem once a gud channel now nothing bt a mouthpiece of a party !! 
No debate in Gadchiroli?? Y??
 julst bcz it's ruled by #BJP

Shame a bit pseudo journalist 
@sudhirchaudhary .
&amp;
@AnilSinghviZEE
galat channel chun Lia h shayad! 
@ZeeNews",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",Pratik2358,47946,689,19550,495,23,India,Thu May 02 13:27:30 +0000 2019,
"#bjp and others have to learn this..
Notice bottom line especially! 🤔 🇮🇳

@narendramodi @AmitShah https://t.co/XjhdxwsP6O",IN,"Surat, India","[[[72.609337, 21.035619], [72.968872, 21.035619], [72.968872, 21.307119], [72.609337, 21.307119]]]",luvani31,713,62,476,71,0,"Surat, India",Thu May 02 13:17:07 +0000 2019,
"Don't you think #PriyankaGandhiVadra is another Star Campaigners for #BJP like her brother #RahulGandhi ???

While all BJP Leaders are motivating people to vote for BJP, but these Siblings duo are compelling people to Vote for BJP !!! @priyankagandhi @RahulGandhi",IN,"Patiala, India","[[[76.167294, 30.072684], [76.654115, 30.072684], [76.654115, 30.448265], [76.167294, 30.448265]]]",rjindalrs,6800,388,10642,55,29,Patiala (Punjab),Thu May 02 12:45:17 +0000 2019,
"Hey #BJP,  we can handle snakes.",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",JhaSanjay,21800,397467,59354,2970,966,Mumbai.India,Thu May 02 12:33:44 +0000 2019,
"What is erection commission ?
is that commission regulate erection ??
I mean seriously ??
#BJP #congress @BJP4India @PSamratSakal https://t.co/eUg1pJVasf",IN,"Haveli, India","[[[73.6246953, 18.2801029], [74.1954594, 18.2801029], [74.1954594, 18.7362196], [73.6246953, 18.7362196]]]",Rohi_Harip,326,297,4934,442,4,"New Delhi, India",Thu May 02 10:14:37 +0000 2019,
"@BJP4India #BJP shamelessly trying to replace the Ashok Stambh on the Armed Forces’ uniform, with their party logo.
The Armed Forces are India’s pride. We are always FOR the Armed Forces &amp; with them. We are AGAINST this Govt whose expiry date is over: @derekobrienmp
https://t.co/5lA3CJqcRY",IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",KOLLEO,25387,2955,28445,729,25,"Kolkata,India.",Thu May 02 09:45:38 +0000 2019,
@BJP4India Regarding #Patriotism #Deshbhakti hope 'C' grade #Bhakts of #Modi #BJP &amp; #bhakts will enjoy these pics. https://t.co/DUQuABMsSN,IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",KOLLEO,25387,2955,28445,729,25,"Kolkata,India.",Thu May 02 09:41:55 +0000 2019,
@BJP4India Regarding #Patriotism #Deshbhakti hope 'C' grade #Bhakts of #Modi #BJP &amp; #Bhakts  will enjoy these pics. https://t.co/DUQuABMsSN,IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",KOLLEO,25387,2955,28445,729,25,"Kolkata,India.",Thu May 02 09:41:14 +0000 2019,
"@dhruv_rathee #LokSabhaElections2019
#ModiNeverAgain
#MurderOfDemocracy #MurderOfConstitution 

Jointly by #BJP &amp; it's pet #ElectionCommissionOfIndia 
#ShameOnEC 
#ShameOnBJP 
@UN @amnestyusa @POTUS @KremlinRussia_E please save #IndianDemocracy 

https://t.co/zRXfmERxbK",IN,"Kolkata, India","[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]",KOLLEO,25387,2955,28445,729,25,"Kolkata,India.",Thu May 02 09:20:46 +0000 2019,
"@arunjaitley #BJP is the ONLY party talking about religion all the time !! So you do accept that you have nothing to offer apart from religion to 🇮🇳 

You are not even a good lawyer perhaps a middle man 👨",IN,"Gurgaon, India","[[[76.707671, 28.199529], [77.241711, 28.199529], [77.241711, 28.537521], [76.707671, 28.537521]]]",vishalsinghjain,8467,443,11714,255,9,Lutyens’ New Delhi,Thu May 02 09:03:18 +0000 2019,
@squintneon Potential #BJP candidate for Lok Sabha.,IN,"Guruvayoor-Manattala-Perakam-Edakkazhiyur, India","[[[75.954762, 10.343446], [76.136058, 10.343446], [76.136058, 10.695807], [75.954762, 10.695807]]]",riyazn123,4222,127,6953,861,24,,Thu May 02 08:46:50 +0000 2019,
